Date,Open,High,Low,Close,Adj Close,Volume
2022-10-11,0.090000,0.090000,0.080000,0.090000,0.090000,422500
2022-10-12,0.080000,0.090000,0.080000,0.090000,0.090000,478800
2022-10-13,0.090000,0.110000,0.090000,0.100000,0.100000,1055200
2022-10-14,0.150000,0.150000,0.110000,0.130000,0.130000,1602900
2022-10-17,0.140000,0.140000,0.120000,0.140000,0.140000,770900
2022-10-18,0.180000,0.280000,0.150000,0.280000,0.280000,5353600
2022-10-19,0.290000,0.560000,0.270000,0.330000,0.330000,10545300
2022-10-20,0.340000,0.380000,0.320000,0.330000,0.330000,1712300
2022-10-21,0.350000,0.420000,0.300000,0.410000,0.410000,2686700
2022-10-24,0.440000,0.490000,0.400000,0.450000,0.450000,1769100
2022-10-25,0.480000,0.480000,0.440000,0.450000,0.450000,485100
2022-10-26,0.450000,0.460000,0.330000,0.370000,0.370000,1625900
2022-10-27,0.380000,0.400000,0.320000,0.330000,0.330000,1304200
2022-10-28,0.320000,0.350000,0.310000,0.320000,0.320000,516800
2022-10-31,0.320000,0.330000,0.260000,0.290000,0.290000,585200
2022-11-01,0.280000,0.280000,0.220000,0.240000,0.240000,1366500
2022-11-02,0.270000,0.290000,0.210000,0.270000,0.270000,603100
2022-11-03,0.270000,0.380000,0.270000,0.370000,0.370000,1429100
2022-11-04,0.340000,0.450000,0.260000,0.420000,0.420000,3372000
2022-11-07,0.440000,0.540000,0.420000,0.480000,0.480000,1273100
2022-11-08,0.500000,0.660000,0.490000,0.650000,0.650000,3110800
2022-11-09,0.650000,1.060000,0.590000,0.730000,0.730000,8307200
2022-11-10,0.760000,0.920000,0.640000,0.670000,0.670000,3355300
2022-11-11,0.570000,0.570000,0.390000,0.530000,0.530000,3383200
2022-11-14,0.520000,0.520000,0.360000,0.480000,0.480000,3587100
2022-11-15,0.500000,0.660000,0.470000,0.480000,0.480000,2665100
2022-11-16,0.490000,0.540000,0.480000,0.500000,0.500000,1541500
2022-11-17,0.490000,0.510000,0.480000,0.490000,0.490000,543400
2022-11-18,0.500000,0.530000,0.500000,0.510000,0.510000,863500
2022-11-21,0.470000,0.750000,0.470000,0.630000,0.630000,2961100
2022-11-22,0.690000,0.690000,0.610000,0.620000,0.620000,572200
2022-11-23,0.640000,0.730000,0.640000,0.690000,0.690000,376300
2022-11-25,0.710000,0.790000,0.680000,0.770000,0.770000,715100
2022-11-28,0.760000,0.780000,0.520000,0.660000,0.660000,1400000
2022-11-29,0.660000,0.740000,0.660000,0.720000,0.720000,591300
2022-11-30,0.730000,0.760000,0.650000,0.740000,0.740000,1309100
2022-12-01,0.750000,0.770000,0.700000,0.730000,0.730000,931600
2022-12-02,0.740000,0.760000,0.720000,0.730000,0.730000,237600
2022-12-05,0.740000,0.760000,0.720000,0.730000,0.730000,427700
2022-12-06,0.740000,0.740000,0.690000,0.710000,0.710000,298900
2022-12-07,0.710000,0.710000,0.650000,0.690000,0.690000,259800
2022-12-08,0.690000,0.700000,0.660000,0.670000,0.670000,313700
2022-12-09,0.660000,0.700000,0.660000,0.670000,0.670000,129900
2022-12-12,0.660000,0.690000,0.610000,0.690000,0.690000,183100
2022-12-13,0.700000,0.720000,0.670000,0.680000,0.680000,163000
2022-12-14,0.700000,0.700000,0.650000,0.670000,0.670000,551900
2022-12-15,0.670000,0.670000,0.600000,0.600000,0.600000,501900
2022-12-16,0.600000,0.600000,0.560000,0.590000,0.590000,482600
2022-12-19,0.590000,0.590000,0.570000,0.590000,0.590000,171300
